,date,channel,segment,device,region,response
500,2024-05-11,SMS,Returning,Mobile,Seoul,No
501,2024-04-13,Push,New,Mobile,Seoul,Yes
502,2024-07-08,Ads,Returning,Mobile,Busan,No
503,2024-05-07,Push,New,Mobile,Seoul,No
504,2024-06-26,Ads,Returning,Mobile,Seoul,No
505,2024-06-09,Push,Returning,Mobile,Gwangju,No
506,2024-05-30,Search,Returning,Desktop,Busan,No
507,2024-06-19,Push,New,Mobile,Daegu,No
508,2024-04-04,Push,New,Mobile,Daejeon,Yes
509,2024-05-08,Search,New,Desktop,Seoul,Yes
510,2024-07-24,SMS,Returning,Mobile,Gwangju,No
511,2024-06-26,Ads,New,Mobile,Incheon,Yes
512,2024-05-17,SMS,New,Mobile,Incheon,No
513,2024-04-15,Push,Returning,Desktop,Seoul,No
514,2024-07-10,SMS,New,Desktop,Seoul,No
515,2024-04-20,Email,New,Mobile,Seoul,No
516,2024-05-21,Ads,Returning,Mobile,Seoul,No
517,2024-07-18,Search,Returning,Desktop,Seoul,No
518,2024-05-08,SMS,New,Desktop,Busan,No
519,2024-05-28,Ads,New,Mobile,Busan,No
520,2024-07-20,Ads,New,Desktop,Seoul,No
521,2024-06-27,Ads,Returning,Mobile,Busan,No
522,2024-06-09,Search,New,Mobile,Daejeon,No
523,2024-06-28,Push,Returning,Desktop,Seoul,No
524,2024-04-12,Ads,New,Mobile,Seoul,No
525,2024-04-27,Email,Returning,Mobile,Seoul,No
526,2024-07-27,Push,New,Mobile,Seoul,No
527,2024-05-05,Push,New,Mobile,Daejeon,No
528,2024-06-20,Email,New,Mobile,Seoul,Yes
529,2024-05-12,Email,Returning,Mobile,Incheon,No
530,2024-06-23,Push,New,Mobile,Incheon,No
531,2024-05-05,SMS,New,Mobile,Seoul,No
532,2024-06-03,Ads,Returning,Mobile,Seoul,No
533,2024-07-24,Push,New,Mobile,Daejeon,No
534,2024-06-14,Ads,New,Mobile,Daejeon,No
535,2024-06-08,Ads,Returning,Mobile,Seoul,No
536,2024-06-07,SMS,New,Mobile,Incheon,Yes
537,2024-04-05,SMS,Returning,Desktop,Daejeon,No
538,2024-07-14,Search,New,Mobile,Incheon,No
539,2024-04-08,Push,New,Mobile,Gwangju,No
540,2024-07-16,Ads,New,Mobile,Busan,No
541,2024-05-29,SMS,New,Mobile,Incheon,No
542,2024-07-22,SMS,Returning,Desktop,Daejeon,No
543,2024-04-03,Ads,Returning,Mobile,Seoul,No
544,2024-05-10,SMS,New,Mobile,Seoul,Yes
545,2024-05-27,Ads,Returning,Mobile,Seoul,Yes
546,2024-06-14,Push,Returning,Mobile,Gwangju,No
547,2024-06-12,Search,New,Mobile,Gwangju,No
548,2024-07-03,Ads,New,Mobile,Seoul,No
549,2024-04-05,Search,New,Desktop,Seoul,No
550,2024-04-01,Search,New,Mobile,Daegu,No
551,2024-05-23,Ads,New,Desktop,Daegu,Yes
552,2024-07-23,Search,Returning,Mobile,Seoul,No
553,2024-06-27,Push,New,Mobile,Busan,No
554,2024-04-21,SMS,Returning,Mobile,Incheon,Yes
555,2024-07-03,Search,Returning,Mobile,Seoul,No
556,2024-05-02,Ads,New,Mobile,Seoul,No
557,2024-07-22,SMS,Returning,Desktop,Seoul,No
558,2024-05-20,Ads,Returning,Mobile,Seoul,No
559,2024-07-22,Ads,Returning,Mobile,Seoul,Yes
560,2024-07-16,Email,Returning,Mobile,Incheon,No
561,2024-04-23,SMS,Returning,Mobile,Gwangju,No
562,2024-05-01,Push,Returning,Mobile,Busan,No
563,2024-07-24,SMS,Returning,Mobile,Seoul,No
564,2024-06-04,Push,New,Mobile,Busan,No
565,2024-05-05,Push,Returning,Desktop,Seoul,No
566,2024-06-24,Search,New,Desktop,Seoul,No
567,2024-06-19,Search,New,Desktop,Seoul,No
568,2024-04-21,Push,Returning,Mobile,Seoul,No
569,2024-04-18,Search,Returning,Mobile,Seoul,Yes
570,2024-04-11,SMS,New,Desktop,Gwangju,No
571,2024-04-01,Push,New,Desktop,Gwangju,No
572,2024-04-01,SMS,Returning,Desktop,Seoul,No
573,2024-07-08,Search,New,Mobile,Seoul,Yes
574,2024-05-06,Ads,Returning,Mobile,Seoul,No
575,2024-07-29,Ads,Returning,Desktop,Seoul,No
576,2024-07-28,Search,New,Mobile,Busan,Yes
577,2024-04-29,Push,New,Mobile,Seoul,Yes
578,2024-05-12,Ads,New,Mobile,Daegu,No
579,2024-05-06,Ads,New,Mobile,Seoul,Yes
580,2024-06-25,Email,Returning,Desktop,Seoul,Yes
581,2024-07-12,Search,Returning,Mobile,Seoul,Yes
582,2024-05-16,SMS,Returning,Desktop,Busan,No
583,2024-06-28,SMS,Returning,Desktop,Gwangju,No
584,2024-05-31,Push,New,Mobile,Daegu,No
585,2024-06-26,Email,Returning,Mobile,Busan,No
586,2024-06-27,Search,Returning,Mobile,Seoul,No
587,2024-07-02,Push,New,Mobile,Daegu,No
588,2024-07-25,Push,Returning,Mobile,Seoul,No
589,2024-04-12,Email,Returning,Desktop,Busan,No
590,2024-04-12,SMS,Returning,Mobile,Seoul,No
591,2024-07-27,Ads,New,Mobile,Seoul,No
592,2024-04-23,Search,New,Mobile,Seoul,Yes
593,2024-04-29,Search,New,Desktop,Seoul,No
594,2024-05-07,Search,Returning,Mobile,Incheon,Yes
595,2024-06-06,Email,Returning,Desktop,Busan,Yes
596,2024-07-03,Push,Returning,Mobile,Seoul,Yes
597,2024-07-13,Ads,New,Desktop,Daegu,No
598,2024-07-15,SMS,New,Mobile,Busan,Yes
599,2024-05-25,Email,New,Mobile,Seoul,No
